"title","author","abstract","meta_raw","submission_date_text","submission_date","doi","announced_date_text","originally_announced"
"On the Theory of Bulk Viscosity of Cold Plasmas","      
      Albert M. Varonov, 
      
      Todor M. Mishonov","Solving the kinetic equation for ionization-recombination processes in cold plasmas for temperatures much lower than the first ionization potentials, we derive an explicit expression for the bulk viscosity. We obtain that bulk viscosity can be many order of magnitude bigger than the shear viscosity. Our result for the relaxation time reveals that the Mandelstam-Leontovich approximation for the frequency dependence of the bulk viscosity is in practice an exact result for the cold plasmas. The illustrative numerical examples correspond to the plasma cocktail of the solar chromosphere at the height of the minimal polytropic index. The possible application for the acoustic heating of the inner solar atmosphere up to the transition region is shortly discussed together with the evaluation to confirm the theory by laboratory plasmas.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"He-star donor pathway for the hypervelocity star D6-2","      
      Abinaya Swaruba Rajamuthukumar, 
      
      Ruediger Pakmor, 
      
      Stephen Justham, 
      
      Aakash Bhat, 
      
      Ken J Shen","Type Ia supernovae are thermonuclear explosions of white dwarfs, yet the nature of their progenitor systems remains uncertain. Recent discoveries of hypervelocity stars provide unique constraints, as these stars likely represent the surviving companions of such explosions. Using detailed binary evolution models computed with MESA and population synthesis with MSE, we investigate the outcomes of hot subdwarf + white dwarf binaries undergoing helium accretion. We find that donors can nearly exhaust their helium and form compact, C/O cores before explosion. The predicted ejection velocities span a broad distribution reaching up to $\sim 1000\,\mathrm{km\,s^{-1}}$, with D6-2 representing the extreme high-velocity tail of this population. We estimate analytically that the thin residual helium envelope can be stripped by the supernova ejecta, producing a C/O-rich surface composition consistent with the observed spectrum. The Type Ia supernova rate from this channel is ${\sim}(1.69\pm0.06)\times10^{-5}\,\mathrm{M_\odot^{-1}}$, consistent with 1% of the observed Type Ia supernova rate. Hot subdwarf + white dwarf binaries containing nearly exhausted He-star donors can therefore naturally explain the velocity and composition of D6-2 while providing a quantitatively consistent contribution to the observed Type Ia supernova rate. Our models predict a distribution of surviving donor remnants with various core He fractions and with ejection velocities extending down to $\sim 450\,\mathrm{ km\,s^{-1}}$. The orbital velocities of donor stars in this progenitor channel naturally yield orbital velocities consistent with US 708, LP 40-365 stars, and D6-2, indicating that a single class of thermonuclear supernova progenitors can account for their entire range of ejection velocities.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"The Atmospheric Response to Large Electron Beam Fluxes in Solar Flares III: Comprehensive Modeling of the Brightest Observed Near-Ultraviolet Continuum Source in an X9 Solar Flare","      
      Adam F. Kowalski","I report on the high resolution spectra of the remarkable X9 solar flare of 2024 Oct 03 (SOL2024-10-03T12:08) and evaluate the extent to which nonthermal electron beams that generate dense chromospheric condensations can power very bright kernels in solar flares. 1D Radiative-hydrodynamic models predict extreme H$α$ near-wing broadening, bright continuum intensities, and a rapid Fe II red wing asymmetry evolution at the brightest NUV continuum source in the flare. Detailed comparisons to the spectral observations reveal that the H$α$ line is too broad, the Fe II red wing is too bright, and the NUV continuum decays too slowly in a fiducial high-flux beam model. However, chromospheric condensations with maximum electron densities of $n_e \approx 5 \times 10^{14}$ cm$^{-3}$ and optical depths $τ\approx 1$ in the near wing of H$α$ are consistent with the observed intensity of a broad spectrum in the Southern ribbon. Model similarities demonstrate that Fe I emission lines and the FUV continuum intensity can form at chromospheric heights during flares, but I find that the ratios of the NUV to FUV continuum intensities are generally too large in the models. This suggests that radiative-hydrodynamic models of chromospheric condensations cool through $T \approx 30,000$ K too rapidly. The larger than expected FUV continuum intensities are not nearly bright enough to explain recent stellar megaflare spectra from the Hubble Space Telescope.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"The Transition from Giant Planets to Brown Dwarfs beyond 1 au from the Stellar Metallicity Distribution","      
      Steven Giacalone, 
      
      Andrew W. Howard, 
      
      Gregory J. Gilbert, 
      
      Judah Van Zandt, 
      
      Erik A. Petigura, 
      
      Luke B. Handley","Giant planets and brown dwarfs are thought to form via a combination of pathways, including bottom-up mechanisms in which gas is accreted onto a solid core and top-down mechanisms in which gas collapses directly into a gravitationally-bound object. One can distinguish the prevalence of these mechanisms using host star metallicities. Bottom-up formation thrives in metal-rich environments, whereas top-down formation is weakly dependent on ambient metal content. Using a hierarchical Bayesian model and the results of the California Legacy Survey (CLS), a low-bias and homogeneously analyzed radial velocity survey, we find evidence for a transition in the stellar metallicity distribution at a companion mass of $γ= 27_{-8}^{+12} \, M_{\rm Jup}$ for companions with orbital separations between $1-50$ au. Companions below and above this threshold tend to orbit stars with higher ($\rm{[Fe/H]} = 0.17 \pm 0.12$ dex) and lower ($\rm{[Fe/H]} = -0.03 \pm 0.10$ dex) metallicities, respectively. Previous studies of relatively close-in companions reported evidence of a lower transition mass of $\leq 10 \, {\rm M_{\rm Jup}}$. When applied to the CLS sample, our model predicts the probability of a transition in the stellar metallicity distribution at or below $10 \, { M_{\rm Jup}}$ to be $< 1 \%$. We compare our results to estimates of $γ$ gleaned from other observational metrics and discuss implications for planet formation theory.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"Hydrodynamic instabilities in long-term three-dimensional simulations of neutrino-driven supernovae of 13 red supergiant progenitors","      
      Beatrice Giudici, 
      
      Michael Gabler, 
      
      Hans-Thomas Janka","We present long-term three-dimensional (3D) simulations of Type-IIP supernovae (SNe) for 13 non-rotating, single-star, red-supergiant (RSG) progenitors with zero-age-main-sequence masses between 12.5 M$_{\odot}$ and 27.3 M$_{\odot}$. The explosions were modelled with a parametric treatment of neutrino heating to obtain defined energies, ${}^{56}$Ni yields, and neutron-star properties in agreement with previous results. Our 3D SN models were evolved from core bounce until 10 days to study how the large-scale mixing of chemical elements depends on the progenitor structure. Rayleigh-Taylor instabilities (RTIs), which grow at the (C+O)/He and He/H interfaces and interact with the reverse shock forming after the SN shock has passed the He/H interface, play a crucial role in the outward mixing of ${}^{56}$Ni into the hydrogen envelope. We find most extreme ${}^{56}$Ni mixing and the highest maximum ${}^{56}$Ni velocities in lower-mass (LM) explosions despite lower explosion energies, and the weakest ${}^{56}$Ni mixing in the 3D explosions of the most massive RSGs. The efficiency of radial ${}^{56}$Ni mixing anti-correlates linearly with the helium-core mass and correlates positively with the magnitude of a local maximum of $ρr^3$ in the helium shell. This maximum causes shock deceleration and therefore facilitates high growth factors of RTI at the (C+O)/He interface in the LM explosions. Therefore fast-moving ${}^{56}$Ni created by the asymmetric neutrino-heating mechanism is carried into the ubiquitous RT-unstable region near the He/H interface and ultimately far into the envelopes of the exploding RSGs. Our correlations may aid improving mixing prescriptions in 1D SN models and deducing progenitor structures from observed SN properties.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"An optical--mid-infrared color evolution tool for nova identification using WISE data","      
      Joseph Onuegbu, 
      
      Dafne Guetta, 
      
      Yael Hillman, 
      
      Volker Perdelwitz, 
      
      Massimo Della Valle","We present a novel approach for characterizing nova candidates by exploiting the infrared capabilities of the Wide-field Infrared Survey Explorer (WISE) catalog. We developed a pipeline to identify novae based on well-defined infrared criteria, and leveraging this pipeline, we successfully identified 41 optically confirmed novae in the WISE catalog. In particular, we focus on the color difference between the optical V band and the WISE 3.4 microns W1 band as a diagnostic. We compared their infrared light curves with their optical counterparts. We identified a strong correlation from which we proposed a color difference model that can be used for further identification and characterization of novae. Our analysis validates the mass-loss timescale theory, which predicts that systems with lower accretion rates accumulate larger envelopes and produce more massive ejecta. We also confirm models' prediction that the early color evolution of novae is governed by ejecta expansion and cooling. From our sample statistics, we infer a Galactic nova rate of approximately 40 to 50 novae per year, consistent with modern and infrared-corrected estimates. The resultant model from this work paves the way for future large-scale investigations of nova candidates.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"Star clusters in the gamma-ray sky","      
      Giada Peron","Massive Star Clusters (SCs) have been proposed as additional contributors to Galactic Cosmic rays (CRs), to overcome the limitations of supernova remnants (SNRs) to reach the highest energy end of the CR spectrum. Thanks to fast mass losses due to the collective stellar winds, the environment around SCs is potentially suitable for particle acceleration up to PeV energies, and their energetics is enough to account for a non-negligible fraction of the Galactic CRs. Anyhow, the theoretical expectations need to be corroborated by clear observations. Despite the increasing number of detections at different energies, the contamination of other sources often makes it difficult to constrain the contribution arising from stellar winds only, unless one selects objects younger than a few million years, namely before stars start to explode inside clusters. I will review the results obtained with gamma-ray data towards a few massive young star clusters and discuss what implications these result have, especially concerning their contribution to the bulk of Galactic CRs.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"Shadow-Induced Warps in Protoplanetary disks","      
      Shangjia Zhang, 
      
      Zhaohuan Zhu, 
      
      Callum W. Fairbairn","Shadows are commonly observed in protoplanetary disks in near-infrared and (sub)millimeter images, often cast by misaligned inner disks or other obscuring material. While recent studies show that shadows can alter disk dynamics, only the case symmetric across the midplane (e.g., from a polar-aligned inner disk) has been studied. Here we study shadows cast by an inner disk with a $30^\circ$ mutual inclination using 3D radiation-hydrodynamical simulations. Given the same shadow shape and amplitude, the $30^\circ$ inclined shadow leads to a much stronger accretion compared with the polar case, reaching $α\sim$ 1, because the disk is squeezed twice in one azimuth, leading to shocks and strong radial flows near the midplane. The outer disk develops a warp: the inner disk region tilts toward alignment with the shadow, while the outer, exponentially tapered disk tilts and twists in a different direction, inclined $\sim$ 32$^\circ$ relative to the inner region. Locally isothermal simulations with a prescribed temperature structure reproduce the effect, confirming that it is thermally driven. Fourier-Hermite analysis shows that it is the m=1, n=1 temperature perturbation that drives the warp by launching bending waves, with the tilting response of the disk approximately proportional to the modal amplitude. This mode always exists unless the shadow is coplanar or polar. Given a fixed temperature contrast, the m=1,n=1 mode peaks at $\sim$15$^\circ$ mutual inclination, but still contributes substantially across 3$^\circ$ to 30$^\circ$. Shadows cause disk warps--they are not only a consequence of them. We discuss testable predictions for current and future ALMA and NIR observations.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"Radiation magnetohydrodynamics simulations of Population III star formation during the Epoch of Reionization","      
      Lisanne van Veenen, 
      
      Piyush Sharda, 
      
      Serena Viti, 
      
      Shyam H. Menon","Cosmological simulations find that pockets of star-forming gas could remain pristine up until the Epoch of Reionization (EoR) due to the inhomogeneous nature of metal mixing and enrichment in the early Universe. Such pristine clouds could have formed Population III stars, which could have distinct properties compared to their very high redshift ($z \geq 20$) counterparts. We investigate how Population III stars form and grow during the EoR, and whether the resulting mass distribution varies with environment or across cosmic time. We perform high-resolution ($7.5\,\rm{au}$) radiation-magnetohydrodynamics simulations of identical primordial clouds exposed to the CMB appropriate for $z=30$ and $z=6$, respectively, as part of the POPSICLE project. We also run a simulation at $z=6$ with a strong external Lyman-Werner (LW) background, to span across radiative environments which could host metal-free clumps during the EoR. In the limit of no external LW radiation, we find that while the evolution of the most massive star ($M_{\star} \approx 70\,\rm{M_{\odot}}$) is almost identical between $z=30$ and $z=6$, the latter exhibits less fragmentation, leading to a smaller cluster of stars with a higher median stellar mass. In the limit of high external LW radiation, we see vigorous accretion and high star formation efficiencies, leading to the formation of very massive ($M_{\star} > 100\,\rm{M_{\odot}}$) stars. Our results suggest that Population III IMF could vary with redshift simply due to the CMB, independent of the environment. We find that less massive and more compact Pop III star clusters could form during the EoR as compared to $z \geq 20$, with the formation of very massive and supermassive stars likely in strongly irradiated environments.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
"Evidence for the Keplerian orbit of a close companion around a giant star","      
      Mats Esseldeurs, 
      
      Leen Decin, 
      
      Joris De Ridder, 
      
      Yoshiya Mori, 
      
      Amanda I. Karakas, 
      
      Jolien Malfait, 
      
      Taïssa Danilovich, 
      
      Stéphane Mathis, 
      
      Anita M. S. Richards, 
      
      Raghvendra Saha, 
      
      Jeremy Yates, 
      
      Marie Van de Sande, 
      
      Maarten Baes, 
      
      Alain Baudry, 
      
      Jan Bolte, 
      
      Thomas Ceulemans, 
      
      Frederik De Ceuster, 
      
      Ileyk El Mellah, 
      
      Sandra Etoka, 
      
      Carl Gottlieb, 
      
      Fabrice Herpin, 
      
      Pierre Kervella, 
      
      Camille Landri, 
      
      Louise Marinho, 
      
      Iain McDonald
      , et al. (9 additional authors not shown)","Close companions influence stellar evolution through tidal interactions, mass transfer, and mass loss effects. While such companions are detected around young stellar objects, main-sequence stars, red giants, and compact objects, direct observational evidence of close-in companions around asymptotic giant branch (AGB) stars has remained elusive. Here, we present (sub)millimeter time-domain imaging spectroscopy revealing the Keplerian motion of a close-in companion around the AGB star pi1 Gruis. The companion, slightly more massive than the AGB star, is likely a main-sequence star. Unlike more evolved stars with companions at comparable distances, pi1 Gru's companion follows a circular orbit, suggesting an eccentricity-generating mechanism late- or post-AGB. Our analysis suggests that model-predicted circularization rates may be underestimated. Our results highlight the potential of multi-epoch (sub)millimeter interferometry in detecting the Keplerian motion of close companions to giant stars and open avenues for our understanding of tidal interaction physics and binary evolution.
        △ Less","Submitted 14 November, 2025; 
      originally announced November 2025.","14 November, 2025",2025-11-14,NA,"November 2025",2025-11-01
