"Title","Authors","Abstract","SubmissionDate","Announced","DOI","CleanDate"
"Evading the dust fragmentation barrier with the streaming instability in protoplanetary disks","Authors: V. Vallucci-Goy, U. Lebreuilly, M. -M. Mac Low, P. Hennebelle","Context: The streaming instability (SI) is a leading candidate for reaching solid densities sufficient to trigger the gravitational collapse needed for the formation of planetesimals. However, dust growth barriers appear to impede the ability to assemble sufficiently large dust particles to trigger strong clumping, providing a serious impediment to planetesimal formation. Aims: We aim to address the possibility to enhance dust clumping with dust growth in SI-produced structures, and to estimate the impact of the shift of the dust fragmentation threshold in regions where the SI has enhanced the dust density. Methods: We perform two-dimensional numerical simulations of the SI with a monodisperse description of dust growth, accounting for the impact of mass loading of the dust on the sound speed of the gas and dust mixture when computing dust collisional velocities. Results: Dust mass loading reduces collision velocities in high density regions, allowing dust particles to survive to larger sizes before shattering. In turn, dust clumping is boosted as particles grow in size, as long as they remain sufficiently coupled to the gas. Conclusions: This two-way synergy between dust growth and clumping, which depends on the initial dust-to-gas ratio and dust elastic properties, allows denser dust clumps to form and thus facilitates the onset of planetesimal formation. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"The Parkes Observatory Pulsar Data Archive","Authors: Lawrence Toomey, George Hobbs, James Dempsey, Shane Majewski, Shi Dai, John Reynolds","Data from observations of pulsars made by Murriyang, the CSIRO Parkes 64-metre radio-telescope over the last three decades are more accessible than ever before, largely due to their storage in expansive long-term archives. Containing nearly 2 million files from more than 400 Parkes pulsar projects, CSIRO's Data Access Portal is leading the global effort in making pulsar data accessible. In this article, we present the current status of the archive, and provide information about the acquisition, analysis, reduction, visualisation, preservation and dissemination of these data sets. We highlight the importance of such an archive, and present a selection of new results emanating from archival data. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Vortex Dynamics in the Neutron Star Inner Crust","Authors: Xin Sheng, Bennett Link, Matthew E. Caplan, Yuri Levin","We study the superfluid vortex motion in the neutron star inner crust through direct three-dimensional simulations of the coupled dynamics of the vortex and the nuclear lattice. We demonstrate the pinning of an initially moving vortex to the lattice through excitation of lattice vibrations, and show that the efficiency of this process is higher for attractive than for repulsive nucleus-vortex interactions. We explore the unpinning of a vortex under the action of the applied Magnus force, and find that it is influenced by multiple parameters, including the sign of the pinning force, the lattice orientation, composition, temperature, and the energy of pinning to individual nucleus. In lattices with multiple grains, the unpinning transition is triggered inside the grains with weaker pinning, propagates along the vortex (mediated by the excited Kelvin waves) and crosses into grains with stronger pinning. This is likely to effectively decrease the critical force at which vortices unpin and to produce extended regions of unpinned vorticity. Shearing of the crust lattice (e.g., by a starquake) initiates the unpinning of the vortices that are crossing the slip plane. A close encounter of an unpinned vortex with a pinned vortex would cause the latter to unpin, perhaps initiating an unpinning avalanche of many vortices. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Structure-Preserving Unpaired Image Translation to Photometrically Calibrate JunoCam with Hubble Data","Authors: Aditya Pratap Singh, Shrey Shah, Ramanakumar Sankar, Emma Dahl, Gerald Eichstädt, Georgios Georgakis, Bernadette Bucher","Insights into Jupiter's atmospheric dynamics are vital for understanding planetary meteorology and exoplanetary gas giant atmospheres. To study these dynamics, we require high-resolution, photometrically calibrated observations. Over the last 9 years, the Juno spacecraft's optical camera, JunoCam, has generated a unique dataset with high spatial resolution, wide coverage during perijove passes, and a long baseline. However, JunoCam lacks absolute photometric calibration, hindering quantitative analysis of the Jovian atmosphere. Using observations from the Hubble Space Telescope (HST) as a proxy for a calibrated sensor, we present a novel method for performing unpaired image-to-image translation (I2I) between JunoCam and HST, focusing on addressing the resolution discrepancy between the two sensors. Our structure-preserving I2I method, SP-I2I, incorporates explicit frequency-space constraints designed to preserve high-frequency features ensuring the retention of fine, small-scale spatial structures - essential for studying Jupiter's atmosphere. We demonstrate that state-of-the-art unpaired image-to-image translation methods are inadequate to address this problem, and, importantly, we show the broader impact of our proposed solution on relevant remote sensing data for the pansharpening task. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Tracing Structure: Shape and Centroid Deviations in 39 Strong Lensing Clusters as a Test of Cluster Formation Predictions","Authors: Raven Gassis, Matthew B. Bayliss, Keren Sharon, Guillaume Mahler, Michael D. Gladders, Michael McDonald, Hakon Dahle, Michael K. Florian, Jane R. Rigby, Lauren A. Elicker, M. Riley Owens, Prasanna Adhikari, Gourav Khullar","Strong lensing galaxy clusters provide a unique and powerful way to test simulation-derived structure predictions that follow from $Λ$ Cold Dark Matter ($Λ$CDM) cosmology. Specifically, the relative alignments of the dark matter (DM) halo, stars, and hot intracluster gas in these clusters offer insights into how well theoretical structure predictions hold. We measure the position angles, ellipticities, and locations/centroids of the brightest cluster galaxy (BCG), the Intracluster Light (ICL), the hot Intracluster Medium (ICM), and the Core Lensing Mass (CLM) for a sample of strong lensing galaxy clusters from the Sloan Giant Arcs Survey (SGAS). We measure the shapes (position angles and ellipticities) and centroids of these distributions using ellipse-fitting methods applied to different datasets: HST WFC3 imaging for the BCG and ICL, Chandra X-ray observations for the ICM, and strong-lensing mass reconstructions for the CLM. Additionally, we incorporate ICM morphological measures to classify the dynamical state of the cluster sample. Using this multi-component approach, we constrain the shape and centroids of these distributions in this sample and evaluate the different observable components in terms of their ability to trace the gravitational potential of their respective clusters. We find that misalignments between cluster components can be explained by astrophysical processes related to cluster assembly, relaxation, and merger histories. We find that the ICL is most closely aligned with its host DM halo, as traced by the CLM distribution, in both position angle and centroid. Additionally, we find that on average the ICL and CLM are more elliptical than the ICM and BCG. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Non-Gaussianity in SMICA","Authors: M. Citran, H. V. Tran, G. Patanchon, B. van Tent","We develop a new formalism for the component separation method Spectral Matching Independent Component Analysis (SMICA) in order to include the information contained in the foregrounds beyond second-order statistics. We also develop a binned bispectrum estimator that works directly using maps of different frequency channels, capable of determining the bispectrum of multiple components at the same time, shifting the traditional approach to non-Gaussianity estimation from a cleaned map to the component separation step, for a better handling of foreground uncertainty. We test our method on 400 E and B polarization simulations based on the LiteBIRD experiment, containing the two main sources of contamination for CMB polarization experiments: polarized dust and synchrotron emission. We show that the bispectrum does not improve the precision of the power spectrum estimation or of the spectral parameters. However, we are capable of recovering the correct 3-point correlator of the foregrounds and standard constraints on primordial non-Gaussianity in a coherent multi-frequency and multi-component framework. The advantage of our approach is that it combines data in an optimal way accounting for the power spectrum and the bispectrum of the various components, which is not true for the standard approach. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Identifying Transient Hosts in LSST's Deep Drilling Fields with Galaxy Catalogues","Authors: Josh G. Weston, David R. Young, Stephen J. Smartt, Matt Nicholl, Matt J. Jarvis, I. H. Whittam","The upcoming Vera C. Rubin Observatory Legacy Survey of Space and Time (LSST) will enable astronomers to discover rare and distant astrophysical transients. Host-galaxy association is crucial for selecting the most scientifically interesting transients for follow-up. LSST Deep Drilling Field observations will detect distant transients occurring in galaxies below the detection limits of most all-sky catalogues. Here we investigate the use of pre-existing smaller-scale, field-specific catalogues for host identification in the Deep Drilling Fields (DDFs) and a ranking of their usefulness. We have compiled a database of 70 deep catalogues that overlap with the Rubin DDFs and constructed thin catalogues to be homogenised and combined for transient-host matching. A systematic ranking of their utility is discussed and applied based on the inclusion of information such as spectroscopic redshifts and morphological information. Utilising this data against a Dark Energy Survey (DES) sample of supernovae with pre-identified hosts in the XMM-LSS and ECDFS fields, we evaluate different methods for transient-host association in terms of both accuracy and processing speed. We also apply light data-cleaning techniques to identify and remove contaminants within our associations, such as diffraction spikes and blended galaxies where the correct host cannot be determined with confidence. We use a lightweight machine learning approach in the form of extreme gradient boosting to generate confidence scores in our contaminant selections and associated metrics. Finally, we discuss the computational expense of implementation within the LSST transient alert brokers, which will require efficient, fast-paced processing to handle the large stream of survey data. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"The NANOGrav 12.5-year Data Set: Chromatic Noise Characterization & Mitigation with Time-Domain Kernels","Authors: Jeffrey S. Hazboun, Joseph Simon, Jeremy Baier, Bjorn Larsen, Daniel J. Oliver, Paul T. Baker, Bence Bécsy, Siyuan Chen, Alberto Diaz Hernandez, Justin A. Ellis, A. Miguel Holgado, Kristina Islo, Aaron Johnson, Andrew R. Kaiser, Nima Laal, Alexander McEwen, Nihan S. Pol, Joey Shapiro Key, Min Young Kim, Matthew Samson, Brent J. Shapiro-Albert, Jerry P. Sun, Stephen R. Taylor, Caitlin A. Witt, Jeremy Volpe , et al. (42 additional authors not shown)","Pulsar timing arrays (PTAs) have recently entered the detection era, quickly moving beyond the goal of simply improving sensitivity at the lowest frequencies for the sake of observing the stochastic gravitational wave background (GWB), and focusing on its accurate spectral characterization. While all PTA collaborations around the world use Fourier-domain Gaussian processes to model the GWB and intrinsic long time-correlated (red) noise, techniques to model the time-correlated radio frequency-dependent (chromatic) processes have varied from collaboration to collaboration. Here we test a new class of models for PTA data, Gaussian processes based on time-domain kernels that model the statistics of the chromatic processes starting from the covariance matrix. As we will show, these models can be effectively equivalent to Fourier-domain models in mitigating chromatic noise. This work presents a method for Bayesian model selection across the various choices of kernel as well as deterministic chromatic models for non-stationary chromatic events and the solar wind. As PTAs turn towards high frequency (>1/yr) sensitivity, the size of the basis used to model these processes will need to increase, and these time-domain models present some computational efficiencies compared to Fourier-domain models. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Skew-spectra: a generalization to spin-$s$","Authors: Alexander Roskill, Sara Maleubre, David Alonso, Pedro G. Ferreira","Skew-spectra allow us to extract non-Gaussian information by taking the square of a map and finding the power spectrum of this new map with the original map. This allows us to use much of the infrastructure of power spectra and avoid the intricacies of estimating three point statistics. In this paper we present the first extension of skew-spectra to arbitrary spin-$s$ fields, as a means to extract non-Gaussian information efficiently from cosmological data sets like cosmic shear or CMB polarization. We apply the formalism to weak lensing in the context of large scale structure, and discuss different ways of combining fields to build skew-spectra, all while avoiding the problems associated with mass-mapping. We provide plots of these new statistics for $Λ$CDM and vary cosmological parameters. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Forecasting Constraint on Primordial Black Hole Properties with the CSST $3\times2$pt Analysis","Authors: Dingao Hu, Yan Gong, Pengfei Su, Hengjie Lin, Haitao Miao, Qi Xiong, Xuelei Chen","This study forecasts the constraints on the properties of primordial black holes (PBHs) as a cold dark matter component using the galaxy clustering, weak lensing, and galaxy-galaxy lensing (i.e. $3\times2$pt) measurements from the upcoming Chinese Space Station Survey Telescope (CSST) photometric survey. Since PBHs formed via gravitational collapse in the early Universe, they can additionally affect the formation and evolution of the cosmic large-scale structure (LSS) through the ``Poisson"" effect. We compute the angular power spectra for PBH-$Λ$CDM cosmology, and generate mock data based on the CSST instrumental and survey design. The Markov Chain Monte Carlo (MCMC) method is employed to constrain the free parameters, such as the product of the PBH fraction and mass $f_{\rm PBH}m_{\rm PBH}$ and other cosmological parameters. The systematic parameters are also included in the fitting process, such as the parameters of the baryonic effect, intrinsic alignment, galaxy bias, photometric redshift (photo-$z$) calibration, shear calibration, and noise terms. We find that the CSST 3$\times$2pt analysis can achieve tight constraints on $f_{\rm PBH}m_{\rm PBH}$, with 68% and 95% confidence levels (CLs) reaching $<10^{3.9} M_{\odot}$ and $<10^{4.7} M_{\odot}$, respectively. Additionally, the cosmological parameters, e.g. $Ω_m$, $σ_8$ and $w$, can be constrained with the precisions of 3.3%, 1.7%, 13%, respectively. This indicates that the CSST 3$\times$2pt analysis is a powerful tool to advance the PBH dark matter studies in the near future. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"ALMACAL. XV. Band 3 ALMA Survey and Number Counts","Authors: Matteo Bonato, Ivano Baronchelli, Gianfranco De Zotti, Leonardo Trobbiani, Michele Delli Veneri, Fabrizia Guglielmetti, Rosita Paladino, Viviana Casasola, Martin Zwann, Marcella Massardi, Elisabetta Liuzzo, Vincenzo Galluzzi, Erlis Ruli","The ALMACAL project leverages ALMA maps of calibrator-centered fields to conduct deep mm/sub-mm surveys, enabling the detection of extragalactic sources with flux densities orders of magnitude fainter than achievable with other instruments. These faint sources are critical for refining evolutionary models, as their number counts provide key constraints. In this study, we analyzed band-3 ALMACAL maps from 606 calibrator fields, employing a novel machine learning approach to mitigate the often-overlooked bias introduced by the calibrator itself. Supported by extensive simulations, we extended 100 GHz radio AGN counts by approximately 1.5 orders of magnitude in flux density and refined constraints on dusty star-forming galaxies, reaching sensitivities as low as $\sim$180 $μ$Jy. We have improved the sampling, compared to previous results, in the region of the dominant population transition (between dusty star-forming galaxies and radio AGN). Our results are in good agreement with model predictions. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"The network analysis of the cosmic web as a tool to constrain cosmology and cosmic magnetism","Authors: Anton Rudakovskyi, Franco Vazza, Maksym Tsizh","Context. The spatial distribution of haloes in the Cosmic Web encodes a wealth of information about the underlying cosmological model. These haloes can be represented as nodes of a graph, whose structural properties reflect cosmological parameters. Aims. Using our new MAKITRA suite of cosmological magneto-hydrodynamical simulations covering a total volume of $(300\,\text{Mpc})^3$ and with 21 physical model variations (including variations of $σ_8$ and of different models of primordial magnetic fields, PMFs), we investigate the sensitivity of network-based statistics describing the Cosmic Web to variations in cosmological and PMF scenarios. Methods. We focus on several complementary metrics that characterise the spatial distribution of dark and baryonic matter haloes: two-point correlation functions, network-centrality statistics, and counts-in-cell measurements. We first compare the halo-halo correlation functions across different cosmological models. For the network analysis, we represent haloes as vertices of the Cosmic Web and compute multiple centrality measures, whose cumulative distributions we evaluate for universes with varying PMF strengths. Finally, we quantify halo abundances within randomly placed spheres of fixed radius to assess differences between scenarios. Results. First, we find that the statistics of the centralities of the network can serve as a novel sensitive probe of the cosmological parameter $σ_8$. Moreover, we find that this network analysis approach can allow us to distinguish the presence of PMFs with initial strength $\approx\,4 \text{nG}$ from the scenarios with much weaker PMFs. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Cosmology of axion dark energy in supersymmetric models and constraints on high scale parameters","Authors: Amin Aboubrahim, Andrew H. Giman, Pran Nath","An analysis is given of interacting dark energy and dark matter where the dark energy is assumed to be an ultralight axionic field with a pseudo-Nambu-Goldstone Boson potential which is in general a superposition of $N$ number of cosine terms motivated by supergravity and string models with a $U(1)$ global symmetry, where the symmetry is broken by instanton effects. The case $N=2$ is investigated in detail and a fit to cosmological data is performed where it is found that a better fit is obtained in comparison with the $N=1$ case. The fits also constrain high scale parameters, i.e., the axion decay constant which is determined to be sub-Planckian, a result consistent with string theory that disfavors trans-Planckian axion decay constant. Furthermore, the dark energy-dark matter interaction strength is constrained to be feeble, i.e., $λ\lesssim 4\times 10^{-6}$ m$_{\rm Pl}^{-2}$ Mpc$^{-2}$. We study possible implications of this type of potential on the Hubble tension and on the dynamics of the dark energy equation of state using the DESI-DR2 data. For the cases $N=3,4$, the analysis exhibits the phenomenon of transmutation even in the absence of coupling to dark matter, where thawing quintessence transmutes to freezing quintessence. The analysis is internally consistent in its treatment of the dark energy-dark matter interaction as it is based on an underlying Lagrangian, in contrast with several previous works where the sources are chosen in an ad hoc manner to satisfy energy conservation. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
"Laboratory Detection and Rotational Spectroscopy of $trans$-HNSO: Implications for Astronomical Observations","Authors: Valerio Lattanzi, Miguel Sanz-Novo, Víctor M. Rivilla, Izaskun Jiménez-Serra, Paola Caselli","Sulfur-bearing molecules are central to interstellar chemistry, yet their observed abundances in the gas phase remain far below cosmic expectations in dense interstellar regions. Mixed N-S-O species such as thionylimide (HNSO) are particularly relevant, as they incorporate three key biogenic elements. The $cis$ conformer of HNSO has recently been detected in the Galactic Center cloud G+0.693-0.027, but no high-resolution data for the higher energy conformer ($trans$-HNSO) had been available until now. We report the first laboratory detection and rotational spectroscopic characterization of $trans$-HNSO. Spectra were recorded with the Center for Astrochemical Studies Absorption Cell (CASAC) free-space spectrometer employing a hollow-cathode discharge source, yielding 104 assigned transitions between 200 and 530 GHz. A Watson S-reduced Hamiltonian fit reproduced the data with an rms of 40 kHz, providing accurate rotational and centrifugal distortion constants in excellent agreement with CCSD(T) predictions. Although $trans$-HNSO lies only a few kcal/mol above the $cis$ form, it has larger dipole components, making its lines particularly intense (more than 5 times brighter, assuming equal abundances) and a very promising candidate for future astronomical detection. The new measurements enable reliable frequency predictions for astronomical searches and will be added to public databases. Combined with recent evidence for tunneling-driven $trans$-to-$cis$ isomerization at cryogenic temperatures, these results open the way to test directly whether quantum tunneling governs the interstellar distribution of HNSO isomers. △ Less","Submitted 27 November, 2025;","originally announced November 2025.",NA,NA
